,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
2953,東允上品六期,,84~95,番子寮,番子寮,https://tainan.housetube.tw/25327,23.0626113,120.3014177
2954,獨白,,65~81,台南市南區永成路二段881巷77號,台南市南區永成路二段881巷77號,https://tainan.housetube.tw/25306,22.9611145,120.1934401
2955,花見小路NO.7,,未提供,台江大道一段,台江大道一段,https://tainan.housetube.tw/25296,23.0488894,120.2307528
2956,喜樂泉源,,67~70,台南市安平區12-18,台南市安平區12-18,https://tainan.housetube.tw/25295,29.830164,73.850728
2957,九硯立方,,42起,位址:,台南市東區裕敬三街42號,https://tainan.housetube.tw/25294,,
2958,大塊先生NO.12,,49.3~50.2,位址:,安平區慶平路231號,https://tainan.housetube.tw/25281,,
2959,綠格,,64~67,富農街一段,富農街一段,https://tainan.housetube.tw/25260,22.9787846,120.2342649
2960,富里旺,,79~90,北興路,北興路,https://tainan.housetube.tw/25256,23.644463,120.360678
2961,皇邑NO.15,,45起,海佃路一段320巷16號,海佃路一段320巷16號,https://tainan.housetube.tw/25247,23.0267473,120.1918408
2962,卓悅NO.5,,未提供,永春街12巷21號,永春街12巷21號,https://tainan.housetube.tw/25233,23.0161232,120.2567551
2963,易聖哲學3,,未提供,安昌街127號,安昌街127號,https://tainan.housetube.tw/25228,23.0707037,120.2194256
2964,清禾田2,,60~69.7,萬年五街‧萬年七街,萬年五街‧萬年七街,https://tainan.housetube.tw/25227,,
2965,智富,,41起,位址:,文賢路135號,https://tainan.housetube.tw/25222,22.792167,120.294897
2966,良驛,,59~65,竹港村35-2號,竹港村35-2號,https://tainan.housetube.tw/25217,24.347957,121.30993
2967,晶英CEO,,未提供,位址:,台南市北區西門路三段80號,https://tainan.housetube.tw/25200,23.0011217,120.2025441
2968,藏馥,,176起,台南市中西區南門路,台南市中西區南門路,https://tainan.housetube.tw/25179,22.981621,120.20378
2969,百度大順,,30.8~33.2,位址:,大順街,https://tainan.housetube.tw/25172,22.742026,120.477123
2970,知音賞,,105起,大安街97巷20號,大安街97巷20號,https://tainan.housetube.tw/25171,23.0053589,120.2632231
2971,孚日,,未提供,大灣一街113號,大灣一街113號,https://tainan.housetube.tw/25169,23.0021574,120.263813
2972,圓築晉好宅五,,250起,安中路一段372巷25號,安中路一段372巷25號,https://tainan.housetube.tw/25168,,
